station_name,time,total_traffic,最高气温℃,最低气温℃,天气,风向,风力,work,trip_count,体育休闲服务_proportion,医疗保健服务_proportion,住宿服务_proportion,风景名胜_proportion,科教文化服务_proportion,交通枢纽_proportion,生活类服务_proportion,公司_proportion,住宅区_proportion,pay_type_0_proportion,pay_type_1_proportion,pay_type_2_proportion,pay_type_3_proportion,天气_中雨,天气_多云,天气_小雨,天气_晴,天气_阴,风向_东北风,风向_东风,风向_北风,风向_西北风,风向_西南风,风力_北风3-4级,风力_微风
七堡站,2019-01-01,9481,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,False,True,False,False,False,True
三坝站,2019-01-01,22779,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,False,False,True,False,False,True
三墩站,2019-01-01,19531,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,False,True,False,False,False,True
下沙江滨站,2019-01-01,19337,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,True,False,False,False,False,False,False,True,False,False,False,True
下沙西站,2019-01-01,10488,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,True,False,False,False,False,False,False,True,False,False,False,True
中医药大学站,2019-01-01,23632,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,True,False,False,False,False,True
中河北路站,2019-01-01,18133,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,False,True,False,False,False,True
丰潭路站,2019-01-01,29262,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,False,True,True,False,False,False,False,False,True
临平站,2019-01-01,51514,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,False,True,False,False,False,True
乔司南站,2019-01-01,7939,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,False,True,False,False,False,True
乔司站,2019-01-01,33227,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,True,False,False,False,False,False,False,False,True,False,False,True
九和路站,2019-01-01,23227,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,False,True,False,False,True,False,False,False,True
九堡站,2019-01-01,20959,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,True,False,False,False,True,False,False,False,True
云水站,2019-01-01,20776,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,True,False,False,False,False,True
人民广场站,2019-01-01,24710,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,False,True,False,False,True,False
人民路站,2019-01-01,20272,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,True,False,False,False,False,False,True,False,False,False,True
余杭高铁站,2019-01-01,10026,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,True,False,False,False,True,False,False,False,True
凤起路A站,2019-01-01,72913,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,True,False,False,False,True,False,False,False,True
凤起路B站,2019-01-01,31819,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,False,True,False,False,True,False,False,False,True
南星桥站,2019-01-01,13041,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,True,False,False,False,False,False,True,False,False,False,True
