station_name,time,total_traffic
七堡站,2019-01-01,9481
三坝站,2019-01-01,22779
三墩站,2019-01-01,19531
下沙江滨站,2019-01-01,19337
下沙西站,2019-01-01,10488
中医药大学站,2019-01-01,23632
中河北路站,2019-01-01,18133
丰潭路站,2019-01-01,29262
临平站,2019-01-01,51514
乔司南站,2019-01-01,7939
乔司站,2019-01-01,33227
九和路站,2019-01-01,23227
九堡站,2019-01-01,20959
云水站,2019-01-01,20776
人民广场站,2019-01-01,24710
人民路站,2019-01-01,20272
余杭高铁站,2019-01-01,10026
凤起路A站,2019-01-01,72913
凤起路B站,2019-01-01,31819
南星桥站,2019-01-01,13041
南苑站,2019-01-01,16164
古翠路站,2019-01-01,26974
城星路站,2019-01-01,7964
城站,2019-01-01,85737
墩祥街站,2019-01-01,19279
复兴路站,2019-01-01,7223
婺江路站,2019-01-01,26745
学院路站,2019-01-01,24455
定安路站,2019-01-01,64963
客运中心站,2019-01-01,70821
市民中心站,2019-01-01,24916
庆春广场站,2019-01-01,20512
庆菱路站,2019-01-01,17528
建国北路站,2019-01-01,20564
建设一路站,2019-01-01,10517
建设三路站,2019-01-01,17590
彭埠站,2019-01-01,33507
打铁关站,2019-01-01,38674
振宁路站,2019-01-01,21745
文新站,2019-01-01,26328
文泽路站,2019-01-01,61774
文海南路站,2019-01-01,51652
新塘站,2019-01-01,10328
新风站,2019-01-01,6752
景芳站,2019-01-01,29496
曹家桥站,2019-01-01,7466
朝阳站,2019-01-01,17422
杜甫村站,2019-01-01,20507
杨家墩站,2019-01-01,19599
杭发厂站,2019-01-01,29869
武林广场站,2019-01-01,75760
武林门站,2019-01-01,21874
水澄桥站,2019-01-01,13590
江锦路站,2019-01-01,21730
江陵路站,2019-01-01,45818
沈塘桥站,2019-01-01,22417
浦沿站,2019-01-01,15656
湘湖站,2019-01-01,22729
滨和路站,2019-01-01,24385
滨康路站,2019-01-01,12477
潘水站,2019-01-01,12786
火车东站,2019-01-01,357089
甬江路站,2019-01-01,4639
白洋站,2019-01-01,9176
盈丰路站,2019-01-01,12349
翁梅站,2019-01-01,22443
联庄站,2019-01-01,17751
良渚站,2019-01-01,13644
虾龙圩站,2019-01-01,20120
西兴站,2019-01-01,32289
西湖文化广场站,2019-01-01,48386
近江站,2019-01-01,24263
金家渡站,2019-01-01,24493
金沙湖站,2019-01-01,53702
钱江世纪城站,2019-01-01,13836
钱江路站,2019-01-01,29982
闸弄口站,2019-01-01,36247
飞虹路站,2019-01-01,18243
高沙路站,2019-01-01,24022
龙翔桥站,2019-01-01,167448
